course,question,optionA,optionB,optionC,optionD,correctAnswer,,,,,,,,,,,,,,,,
CHE102,Aldehydes are said to be more reactive than ketones because,The carbonyl carbon in the former is more polar than that of the latter,The carbonyl carbon in the latter is more sterically hindered from nucleophilic attack than in the former,The carbonyl carbon in the former is a terminal one hence better contact with nucleophiles unlike in the latter where the carbonyl carbon is not easily available for attack,The tetrahedral structure of the former possesses higher potential energy than the latter,B,,,,,,,,,,,,,,,,
CHE102,Which of these has the most stable central carbon?,RCOR’,RCOH,RCH3,CH4,A,,,,,,,,,,,,,,,,
CHE102,The intermediate formed during the reaction of ozone with unsaturated compounds is called,Oxidizing agent,Ozonide,Trioxane,Peroxide,B,,,,,,,,,,,,,,,,
CHE102,Reaction of alkene with ozone in the presence of hydrogen peroxide will produce,Two acids,Ketone and acid,Two ketones,All of the above,D,,,,,,,,,,,,,,,,
CHE102,Ozonolysis is a very important reaction in chemistry because,It is not toxic,It can be used to characterize complex molecules,It takes place at room temperature,It is a means of reducing complex molecules,B,,,,,,,,,,,,,,,,
CHE102,Which of these is not a way of preparing aldehydes and ketones?,Hydration of alkynes,Reduction of acid chlorides,Acylation reaction,Amination reaction,D,,,,,,,,,,,,,,,,
CHE102,How many isomers will this compound have?,1,2,3,4,C,,,,,,,,,,,,,,,,
CHE102,Which of these has the highest boiling point?,Butane,Butanal,Butanol,Butanone,C,,,,,,,,,,,,,,,,
CHE102,What is the product you would get from the hydration of CH3C=CCH2CH3 using mercury salt?,CH3COCH2CH2CH3,CH3CH2COCH2CH3,CH3COCH2CH2CH3 and CH3CH2COCH2CH3,CH3CH2C(OH)CH2CH3,C,,,,,,,,,,,,,,,,
CHE102,Aromatic ketones are prepared by,Wittig reactions,Friedel-Craft acylation,Clemmensen reaction,Mercuration reaction,B,,,,,,,,,,,,,,,,
CHE102,Cyanohydrins can be hydrolysed in the presence of acid to produce,Compounds with both hydroxyl and carboxylic groups,Beta-Amino alcohols,Aldehydes,Ketones,A,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of water with ketones?,Acetal,Hydrate,Hemiacetal,Geraniol,B,,,,,,,,,,,,,,,,
CHE102,What is the final product of the reaction of alcohol with aldehyde called?,Hemiacetal,Acetal,Hydrate,Ketal,B,,,,,,,,,,,,,,,,
CHE102,The name of this compound is,Hex-1-en-6-yne,Hex-1-en-1-yne,Hept-1-en-6-yne,Hept-6-en-1-yne,C,,,,,,,,,,,,,,,,
CHE102,Which of the following is otherwise known as grain alcohol?,Propanol,Butanol,Ethanol,Methanol,C,,,,,,,,,,,,,,,,
CHE102,Alcohols have higher boiling points than do alkanes of similar molecular weight because,Oxygen is present in alcohols which is deficient in alkanes,Strong ionic bonding is present in alcohols while covalent bonding is present in alkanes,Interaction between oxygen of the hydroxyl group with other molecules of alcohols which is absent in alkanes,Alkanes are largely hydrocarbons which mostly are in gaseous states,C,,,,,,,,,,,,,,,,
CHE102,The carbon atom bonded to a hydroxyl group is called,carbol,carbocation,carbinol,carbene,C,,,,,,,,,,,,,,,,
CHE102,Glycols have ____ hydroxyl group(s).,one,two,three,four,B,,,,,,,,,,,,,,,,
CHE102,Which of the alcohols is otherwise known as wood spirit?,Ethanol,Propanol,Methanol,Butanol,C,,,,,,,,,,,,,,,,
CHE102,Which of these is not another name for 2-propanol?,Isopropanol,Isopropyl alcohol,Rubbing alcohol,Vinylpropanol,D,,,,,,,,,,,,,,,,
CHE102,An example of a polyhydric alcohol is,Glycerol,Glycol,Cellulose,Polymer,C,,,,,,,,,,,,,,,,
CHE102,The formation of ethylene glycol from ethylene is an example of,Oxidation,reduction,dehydration,hydrogenation,A,,,,,,,,,,,,,,,,
CHE102,Which of these is a secondary alcohol?,CH3CH2OH,CH3(CH3)CHOH,CH3(CH3)2COH,CH3CH2COH,B,,,,,,,,,,,,,,,,
CHE102,An example of a compound that contains a carbonyl group is,H2CO,CH3OH,CH2CH2,CH3OCH3,A,,,,,,,,,,,,,,,,
CHE102,Which of these is not true about alcohols?,The melting and boiling points of butanol is higher than ethanol,Ethanol is more soluble in water than octanol,Hexanol is more miscible with water than Methanol,The boiling point of methanol is higher than that of ethane,C,,,,,,,,,,,,,,,,
CHE102,LAH reacts with glyoxal to give,CH3CO2H,HOCH2CH2OH,H2CCH2,HOCH2CO2H,B,,,,,,,,,,,,,,,,
CHE102,Which of these will not mix with water in all proportions?,Ethanol,Methanol,t-butanol,Nonanol,D,,,,,,,,,,,,,,,,
CHE102,LAH reacts with H2CCHC(O)H to give,CH3CH2C(O)H,CH3CH2CH2OH,H2CCHCO2H,H2CCHCH2OH,D,,,,,,,,,,,,,,,,
CHE102,Which of these is a tertiary alcohol?,CH3CH2OH,CH3(CH3)CHOH,CH3(CH3)2COH,CH3CH2COH,C,,,,,,,,,,,,,,,,
CHE102,Alcohol can be prepared by all the following ways except,Addition of acid to alkene,Addition of bromine water to alkene,Addition of borane tetrahydrofuran to alkene followed by alkaline hydrogen peroxide,Addition of Grignard reagent to alkene,D,,,,,,,,,,,,,,,,
CHE102,Which of these compounds has no carbonyl group present in it?,Alkanals,Amides,Acid chlorides,Nitriles,D,,,,,,,,,,,,,,,,
CHE102,Reaction involving the use of lithium aluminium hydride (LAH) must always be in inert solvents because,LAH is inactive in any other solvents,The presence of reactive solvents will produce large amount of side reaction products,LAH will react with solvents having acidic hydrogen atoms,LAH is very reactive and catches fire easily,C,,,,,,,,,,,,,,,,
CHE102,Why will you prefer LAH to NaBH4 as reducing agent for carbonyl group?,LAH is cheaper than NaBH4,NaBH4 is too slow to reduce carbonyl group,NaBH4 is not as selective as LAH,LAH is more environment-friendly than LAH,B,,,,,,,,,,,,,,,,
CHE102,What are the products of the reaction of CH3CH2C(O)OCH3 with LAH followed by treatment with acid?,1-propanol and methanol,Propanal and methanol,Ethanol and ethanoic acid,2-propanol and methanol,A,,,,,,,,,,,,,,,,
CHE102,Which of these reagents will give a saturated alcohol with an unsaturated aldehyde?,NaBH4/H3O+,LAH/H3O+,H2/Raney Nickel,CH3MgBr,C,,,,,,,,,,,,,,,,
CHE102,What is X in this reaction?,CH3CHCHCH2COH,CH3CH2CH2CH2COH,CH3CHCH2CH2COH,CH3CH2CH2CHCOH,A,,,,,,,,,,,,,,,,
CHE102,What is the function of H3O+ in the reaction of RMgX with carbonyl compounds?,To produce magnesium salt of an alkoxide ion,To convert the alkoxide ion to alcohol,To neutralize the alkaline reaction medium,To reduce the carbonyl group to alcohol,B,,,,,,,,,,,,,,,,
CHE102,Which of these groups does not possess an acidic proton?,#NAME?,–OH,–O-CH3,–NH2,C,,,,,,,,,,,,,,,,
CHE102,What is (are) the product(s) of this reaction?,3-methyl-3-pentanone,3-methyl-3-pentanone and methanol,3-methylpentan-3-ol and methanol,3-methylpentan-3-ol,C,,,,,,,,,,,,,,,,
CHE102,Which of these reagents will oxidize primary alcohols directly to aldehydes?,Cr2O72-,MnO4-,PCC,HIO4,C,,,,,,,,,,,,,,,,
CHE102,Oxidation of secondary alcohols in either acidic or basic conditions will give,Aldehydes,Ketones,Ozonides,Carboxylic acids,B,,,,,,,,,,,,,,,,
CHE102,What is the product you would obtain if you oxidize tertiary alcohol in either dichromate or permanganate?,Alkanone only,No product,Alkanone and Alkanal,Alkanal only,B,,,,,,,,,,,,,,,,
CHE102,A terminal ketone is otherwise known as,Aldehyde,Alkanone,Alkanoic acid,Freon,A,,,,,,,,,,,,,,,,
CHE102,The carbonyl group is capable of undergoing the following reactions except,Oxidation,Reduction,Nucleophilic addition,Elimination,D,,,,,,,,,,,,,,,,
CHE102,The preservative used for biological specimens contains,Ethanol,Methanal,Formic acid,Trioxane,B,,,,,,,,,,,,,,,,
CHE102,To prepare formalin I would dissolve,73g formaldehyde in 17g water,37g formaldehyde in 63g water,37g formaldehyde in 100g water,63g formaldehyde in 37g water,B,,,,,,,,,,,,,,,,
CHE102,A pure source of methanal is,Dry formaldehyde,Trioxane,Dioxane,Acetone,B,,,,,,,,,,,,,,,,
CHE102,Acetone is used in organic laboratories for cleaning glassware because it is,Very cheap,Highly volatile and polar,Colourless and non-viscous,Colourless and soapy,B,,,,,,,,,,,,,,,,
CHE102,Which of these could wood varnishes contain?,Propanol,2-butanone,Benzene,Ethanol,B,,,,,,,,,,,,,,,,
CHE102,CH3CHO reacts first with ethyl lithium (CH3CH2Li) and then with dilute acid to give,ethane,butan-2-ol,butane,no reaction,B,,,,,,,,,,,,,,,,
CHE102,Formaldehyde (HCHO) reacts first with CH3MgCl and then with dilute acid to give a,primary alcohol,secondary alcohol,tertiary alcohol,quaternary alcohol,A,,,,,,,,,,,,,,,,
CHE102,The oxidation of CH3CH2OH with acidic dichromate (Cr2O72-) gives,a ketone,ethyl alcohol,an aldehyde,an acid,D,,,,,,,,,,,,,,,,
CHE102,CH3CH2OH reacts with pyridinium chlorochromate (PCC) to give,a ketone,an alcohol,an aldehyde,an acid,C,,,,,,,,,,,,,,,,
CHE102,PBr3 reacts with ethanol to give,tribromoethane,bromoethanol,bromoethane,no reaction,C,,,,,,,,,,,,,,,,
CHE102,Which of the following is otherwise known as grain alcohol?,Propanol,Butanol,Ethanol,Methanol,C,,,,,,,,,,,,,,,,
CHE102,Alcohols have higher boiling points than do alkanes of similar molecular weight because,Oxygen is present in alcohols which is deficient in alkanes,Strong ionic bonding is present in alcohols while covalent bonding is present in alkanes,Interaction between oxygen of the hydroxyl group with other molecules of alcohols which is absent in alkanes,Alkanes are largely hydrocarbons which mostly are in gaseous states,C,,,,,,,,,,,,,,,,
CHE102,The carbon atom bonded to a hydroxyl group is called,carbol,carbocation,carbinol,carbene,C,,,,,,,,,,,,,,,,
CHE102,Glycols have ____ hydroxyl group(s).,one,two,three,four,B,,,,,,,,,,,,,,,,
CHE102,Which of the alcohols is otherwise known as wood spirit?,Ethanol,Propanol,Methanol,Butanol,C,,,,,,,,,,,,,,,,
CHE102,Which of these is not another name for 2-propanol?,Isopropanol,Isopropyl alcohol,Rubbing alcohol,Vinylpropanol,D,,,,,,,,,,,,,,,,
CHE102,Alcohols react with active metals (Na, K, etc.) to produce ____ gas.,oxygen,hydrogen,nitrogen,helium,B,,,,,,,,,,,,,,
CHE102,Which of these chemicals would you recommend for a person who has dry skin?,Ethane 1,2-diol,Propane 1,2,3-triol,Glycol,Glyoxal,B,,,,,,,,,,,,,
CHE102,The green engine coolant in an automobile radiator will likely contain one of these,Glycerol,Ethane 1,2-diol,Ethylene,2-propanol,B,,,,,,,,,,,,,,,
CHE102,An example of a polyhydric alcohol is,Glycerol,Glycol,Cellulose,Polymer,C,,,,,,,,,,,,,,,,
CHE102,The formation of ethylene glycol from ethylene is an example of,Oxidation,reduction,dehydration,hydrogenation,A,,,,,,,,,,,,,,,,
CHE102,Which of these is a secondary alcohol?,CH3CH2OH,CH3(CH3)CHOH,CH3(CH3)2COH,CH3CH2COH,B,,,,,,,,,,,,,,,,
CHE102,An example of a compound that contains a carbonyl group is,H2CO,CH3OH,CH2CH2,CH3OCH3,A,,,,,,,,,,,,,,,,
CHE102,One mole of NaBH4 reacts with 1 mole of acetone, CH3C(O)CH3, to give, after treatment with aqueous acid,Propanoic acid,2-propanone,2-propanol,2-propanal,C,,,,,,,,,,,,,
CHE102,Which of these is not true about alcohols?,The melting and boiling points of butanol is higher than ethanol,Ethanol is more soluble in water than octanol,Hexanol is more miscible with water than Methanol,The boiling point of methanol is higher than that of ethane,C,,,,,,,,,,,,,,,,
CHE102,LAH reacts with glyoxal to give,CH3CO2H,HOCH2CH2OH,H2CCH2,HOCH2CO2H,B,,,,,,,,,,,,,,,,
CHE102,The correct name for the structure drawn is,4-isopropoxyl-3-methylhexan-2-ol,4-ethyl-3-methyl-hexan-2,5-diol,Nonan-2,5-diol,4-ethyl-2,3,5-trimethylhexan-1,6-diol,B,,,,,,,,,,,
CHE102,Which of these will not mix with water in all proportions?,Ethanol,Methanol,t-butanol,Nonanol,D,,,,,,,,,,,,,,,,
CHE102,LAH reacts with H2CCHC(O)H to give,CH3CH2C(O)H,CH3CH2CH2OH,H2CCHCO2H,H2CCHCH2OH,D,,,,,,,,,,,,,,,,
CHE102,Which of these is a tertiary alcohol?,CH3CH2OH,CH3(CH3)CHOH,CH3(CH3)2COH,CH3CH2COH,C,,,,,,,,,,,,,,,,
CHE102,Alcohol can be prepared by all the following ways except,Addition of acid to alkene,Addition of bromine water to alkene,Addition of borane tetrahydrofuran to alkene followed by alkaline hydrogen peroxide,Addition of Grignard reagent to alkene,D,,,,,,,,,,,,,,,,
CHE102,Which of these compounds has no carbonyl group present in it?,Alkanals,Amides,Acid chlorides,Nitriles,D,,,,,,,,,,,,,,,,
CHE102,In a carbonyl group, the oxygen atom is said to be,Electrophilic and reacts with nucleophiles,Nucleophilic and reacts with electrophiles,Electronegative and reacts with bases,Nucleophilic and reacts with bases,B,,,,,,,,,,,,,,,
CHE102,In the reduction of ketone to a secondary alcohol by either NaBH4 or LAH, why will you prefer not to add aqueous acid in the first step?,It will reduce a ketone to a primary alcohol instead,There will be no reaction,Acid will have reacted with the reagent before the carbonyl has any chance to undergo reduction,It causes a serious explosion that can set the whole laboratory on fire,C,,,,,,,,,,,,,,,
CHE102,Reaction involving the use of lithium aluminium hydride (LAH) must always be in inert solvents because,LAH is inactive in any other solvents,The presence of reactive solvents will produce large amount of side reaction products,LAH will react with solvents having acidic hydrogen atoms,LAH is very reactive and catches fire easily,C,,,,,,,,,,,,,,,,
CHE102,Why will you prefer LAH to NaBH4 as reducing agent for carbonyl group?,LAH is cheaper than NaBH4,NaBH4 is too slow to reduce carbonyl group,NaBH4 is not as selective as LAH,LAH is more environment-friendly than NaBH4,B,,,,,,,,,,,,,,,,
CHE102,What are the products of the reaction of CH3CH2C(O)OCH3 with LAH followed by treatment with acid?,1-propanol and methanol,Propanal and methanol,Ethanol and ethanoic acid,2-propanol and methanol,A,,,,,,,,,,,,,,,,
CHE102,Which of these reagents will give a saturated alcohol with an unsaturated aldehyde?,NaBH4/H3O+,LAH/H3O+,H2/Raney Nickel,CH3MgBr,C,,,,,,,,,,,,,,,,
CHE102,What is the function of H3O+ in the reaction of RMgX with carbonyl compounds?,To produce magnesium salt of an alkoxide ion,To convert the alkoxide ion to alcohol,To neutralize the alkaline reaction medium,To reduce the carbonyl group to alcohol,B,,,,,,,,,,,,,,,,
CHE102,Reactions involving RMgX must be carried out in inert solvents like ether because,Solvents having acidic protons will react with and destroy the reagent before it could react with the carbonyl compound,Reactive solvents will interact with the reagent to form undesired products with the carbonyl compounds,RMgX, being a form of salt, is very reactive toward solvents having acidic protons,RMgX is a very sensitive reagent and becomes deactivated upon contact with reactive solvents,A,,,,,,,,,,,,,,
CHE102,Which of these groups does not possess an acidic proton?,?=CH,?H,?-CH3,?H2,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of 1 equivalent of a Grignard reagent with an ester, acyl chloride or carboxylate salt?,Aldehyde,Alkanone,Alkanoic acid,Alcohol,B,,,,,,,,,,,,,,,
CHE102,Which of these reagents will oxidize primary alcohols directly to aldehydes?,Cr2O72-,MnO4-,PCC,HIO4,C,,,,,,,,,,,,,,,,
CHE102,Oxidation of secondary alcohols in either acidic or basic conditions will give,Aldehydes,Ketones,Ozonides,Carboxylic acids,B,,,,,,,,,,,,,,,,
CHE102,What is the product you would obtain if you oxidize tertiary alcohol in either dichromate or permanganate?,Alkanone only,No product,Alkanone and Alkanal,Alkanal only,B,,,,,,,,,,,,,,,,
CHE102,Identify X and Y as different classes of alcohols present in the structure drawn,X is 2o alcohol, Y is 3o alcohol,X is 2o alcohol, Y is 1o alcohol,X is 3o alcohol, Y is 2o alcohol,X is 3o alcohol, Y is 1o alcohol,C,,,,,,,,,,,,
CHE102,A terminal ketone is otherwise known as,Aldehyde,Alkanone,Alkanoic acid,Freon,A,,,,,,,,,,,,,,,,
CHE102,The carbonyl group is capable of undergoing the following reactions except,Oxidation,Reduction,Nucleophilic addition,Elimination,D,,,,,,,,,,,,,,,,
CHE102,The preservative used for biological specimens contains,Ethanol,Methanal,Formic acid,Trioxane,B,,,,,,,,,,,,,,,,
CHE102,To prepare formalin I would dissolve,73g formaldehyde in 17g water,37g formaldehyde in 63g water,37g formaldehyde in 100g water,63g formaldehyde in 37g water,B,,,,,,,,,,,,,,,,
CHE102,A pure source of methanal is,Dry formaldehyde,Trioxane,Dioxane,Acetone,B,,,,,,,,,,,,,,,,
CHE102,Acetone is used in organic laboratories for cleaning glassware because it is,Very cheap,Highly volatile and polar,Colourless and non-viscous,Colourless and soapy,B,,,,,,,,,,,,,,,,
CHE102,Which of these could wood varnishes contain?,Propanol,2-butanone,Benzene,Ethanol,B,,,,,,,,,,,,,,,,
CHE102,CH3CHO reacts first with ethyl lithium (CH3CH2Li) and then with dilute acid to give,ethane,butan-2-ol,butane,no reaction,B,,,,,,,,,,,,,,,,
CHE102,Lithium reacts with n-butyl chloride to give,n-butane,n-butyllithium,chlorine,hydrogen,B,,,,,,,,,,,,,,,,
CHE102,Formaldehyde (HCHO) reacts first with CH3MgCl and then with dilute acid to give a,primary alcohol,secondary alcohol,tertiary alcohol,quaternary alcohol,A,,,,,,,,,,,,,,,,
CHE102,The oxidation of CH3CH2OH with acidic dichromate (Cr2O72-) gives,a ketone,ethyl alcohol,an aldehyde,an acid,D,,,,,,,,,,,,,,,,
CHE102,CH3CH2OH reacts with pyridinium chlorochromate (PCC) to give,a ketone,an alcohol,an aldehyde,an acid,C,,,,,,,,,,,,,,,,
CHE102,PBr3 reacts with ethanol to give,tribromoethane,bromoethanol,bromoethane,no reaction,C,,,,,,,,,,,,,,,,
CHE102,Thionyl chloride, ClS(O)Cl, reacts with isopropyl alcohol, (CH3)2CHOH, to give,2-chloropropane,1-chloropropane,2-propanol,acetone (a ketone),A,,,,,,,,,,,,
CHE102,Which of the following is otherwise known as grain alcohol?,Propanol,Butanol,Ethanol,Methanol,C,,,,,,,,,,,,,,,,
CHE102,Alcohols have higher boiling points than do alkanes of similar molecular weight because,Oxygen is present in alcohols which is deficient in alkanes,Strong ionic bonding is present in alcohols while covalent bonding is present in alkanes,Interaction between oxygen of the hydroxyl group with other molecules of alcohols which is absent in alkanes,Alkanes are largely hydrocarbons which mostly are in gaseous states,C,,,,,,,,,,,,,,,,
CHE102,The carbon atom bonded to a hydroxyl group is called,carbol,carbocation,carbinol,carbene,C,,,,,,,,,,,,,,,,
CHE102,Glycols have ____ hydroxyl group(s).,one,two,three,four,B,,,,,,,,,,,,,,,,
CHE102,Which of the alcohols is otherwise known as wood spirit?,Ethanol,Propanol,Methanol,Butanol,C,,,,,,,,,,,,,,,,
CHE102,Which of these is not another name for 2-propanol?,Isopropanol,Isopropyl alcohol,Rubbing alcohol,Vinylpropanol,D,,,,,,,,,,,,,,,,
CHE102,Alcohols react with active metals (Na, K, etc.) to produce ____ gas.,oxygen,hydrogen,nitrogen,helium,B,,,,,,,,,,,,,,
CHE102,Which of these chemicals would you recommend for a person who has a dry skin?,Ethane 1,2-diol,Propane 1,2,3-triol,Glycol,Glyoxal,B,,,,,,,,,,,,,
CHE102,The green engine coolant in an automobile radiator will likely contain one of these,Glycerol,Ethane 1,2-diol,Ethylene,2-propanol,B,,,,,,,,,,,,,,,
CHE102,An example of a polyhydric alcohol is,Glycerol,Glycol,Cellulose,Polymer,C,,,,,,,,,,,,,,,,
CHE102,The formation of ethylene glycol from ethylene is an example of,Oxidation,reduction,dehydration,hydrogenation,A,,,,,,,,,,,,,,,,
CHE102,Which of these is a secondary alcohol?,CH3CH2OH,CH3(CH3)CHOH,CH3(CH3)2COH,CH3CH2COH,B,,,,,,,,,,,,,,,,
CHE102,An example of a compound that contains a carbonyl group is,H2CO,CH3OH,CH2CH2,CH3OCH3,A,,,,,,,,,,,,,,,,
CHE102,One mole of NaBH4 reacts with 1 mole of acetone, CH3C(O)CH3, to give, after treatment with aqueous acid,–,Propanoic acid,2-propanone,2-propanol,2-propanal,C,,,,,,,,,,,,
CHE102,Which of these is not true about alcohols?,The melting and boiling points of butanol is higher than ethanol,Ethanol is more soluble in water than octanol,Hexanol is more miscible with water than Methanol,The boiling point of methanol is higher than that of ethane,C,,,,,,,,,,,,,,,,
CHE102,LAH reacts with glyoxal to give,CH3CO2H,HOCH2CH2OH,H2CCH2,HOCH2CO2H,B,,,,,,,,,,,,,,,,
CHE102,The correct name for the structure drawn is,4-isopropoxyl-3-methylhexan-2-ol,4-ethyl-3-methyl-hexan-2,5-diol,Nonan-2,5-diol,4-ethyl-2,3,5-trimethylhexan-1,6-diol,B,,,,,,,,,,,
CHE102,Which of these will not mix with water in all proportions?,Ethanol,Methanol,t-butanol,Nonanol,D,,,,,,,,,,,,,,,,
CHE102,LAH reacts with H2CCHC(O)H to give,CH3CH2C(O)H,CH3CH2CH2OH,H2CCHCO2H,H2CCHCH2OH,D,,,,,,,,,,,,,,,,
CHE102,Which of these is a tertiary alcohol?,CH3CH2OH,CH3(CH3)CHOH,CH3(CH3)2COH,CH3CH2COH,C,,,,,,,,,,,,,,,,
CHE102,Alcohol can be prepared by all the following ways except,Addition of acid to alkene,Addition of bromine water to alkene,Addition of borane tetrahydrofuran to alkene followed by alkaline hydrogen peroxide,Addition of Grignard reagent to alkene,D,,,,,,,,,,,,,,,,
CHE102,Which of these compounds has no carbonyl group present in it?,Alkanals,Amides,Acid chlorides,Nitriles,D,,,,,,,,,,,,,,,,
CHE102,In a carbonyl group, the oxygen atom is said to be,Electrophilic and reacts with nucleophiles,Nucleophilic and reacts with electrophiles,Electronegative and reacts with bases,Nucleophilic and reacts with bases,B,,,,,,,,,,,,,,,
CHE102,In the reduction of ketone to a secondary alcohol by either NaBH4 or LAH, why will you prefer not to add aqueous acid in the first step?,It will reduce a ketone to a primary alcohol instead,There will be no reaction,Acid will have reacted with the reagent before the carbonyl has any chance to undergo reduction,It causes a serious explosion that can set the whole laboratory on fire,C,,,,,,,,,,,,,,,
CHE102,Reaction involving the use of lithium aluminium hydride (LAH) must always be in inert solvents because,LAH is inactive in any other solvents,The presence of reactive solvents will produce large amount of side reaction products,LAH will react with solvents having acidic hydrogen atoms,LAH is very reactive and catches fire easily,C,,,,,,,,,,,,,,,,
CHE102,Why will you prefer LAH to NaBH4 as reducing agent for carbonyl group?,LAH is cheaper than NaBH4,NaBH4 is too slow to reduce carbonyl group,NaBH4 is not as selective as LAH,LAH is more environment-friendly than LAH,B,,,,,,,,,,,,,,,,
CHE102,What are the products of the reaction of CH3CH2C(O)OCH3 with LAH followed by treatment with acid?,1-propanol and methanol,Propanal and methanol,Ethanol and ethanoic acid,2-propanol and methanol,A,,,,,,,,,,,,,,,,
CHE102,Which of these reagents will give a saturated alcohol with an unsaturated aldehyde?,NaBH4/H3O+,LAH/H3O+,H2/Raney Nickel,CH3MgBr,C,,,,,,,,,,,,,,,,
CHE102,What is X in this reaction?,CH3CHCHCH2COH,CH3CH2CH2CH2COH,CH3CHCH2CH2COH,CH3CH2CH2CHCOH,A,,,,,,,,,,,,,,,,
CHE102,What is the function of H3O+ in the reaction of RMgX with carbonyl compounds?,To produce magnesium salt of an alkoxide ion,To convert the alkoxide ion to alcohol,To neutralize the alkaline reaction medium,To reduce the carbonyl group to alcohol,B,,,,,,,,,,,,,,,,
CHE102,Reactions involving RMgX must be carried out in inert solvents like ether because,Solvents having acidic protons will react with and destroy the reagent before it could react with the carbonyl compound,Reactive solvents will interact with the reagent to form undesired products with the carbonyl compounds,RMgX, being a form of salt, is very reactive toward solvents having acidic protons,RMgX is a very sensitive reagent and becomes deactivated upon contact with reactive solvents.,A,,,,,,,,,,,,,,
CHE102,Which of these groups does not possess an acidic proton?,#NAME?,–OH,–O-CH3,–NH2,C,,,,,,,,,,,,,,,,
CHE102,What is (are) the product(s) of this reaction?,3-methyl-3-pentanone,3-methyl-3-pentanone and methanol,3-methylpentan-3-ol and methanol,3-methylpentan-3-ol,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the reaction of 1 equivalent of a Grignard reagent with an ester, acyl chloride or carboxylate salt?,Aldehyde,Alkanone,Alkanoic acid,Alcohol,B,,,,,,,,,,,,,,,
CHE102,Which of these reagents will oxidize primary alcohols directly to aldehydes?,Cr2O72-,MnO4-,PCC,HIO4,C,,,,,,,,,,,,,,,,
CHE102,Oxidation of secondary alcohols in either acidic or basic conditions will give,Aldehydes,Ketones,Ozonides,Carboxylic acids,B,,,,,,,,,,,,,,,,
CHE102,What is the product you would obtain if you oxidize tertiary alcohol in either dichromate or permanganate?,Alkanone only,No product,Alkanone and Alkanal,Alkanal only,B,,,,,,,,,,,,,,,,
CHE102,Identify X and Y as different classes of alcohols present in the structure drawn,X is 2o alcohol, Y is 3o alcohol,X is 2o alcohol, Y is 1o alcohol,X is 3o alcohol, Y is 2o alcohol,X is 3o alcohol, Y is 1o alcohol,C,,,,,,,,,,,,
CHE102,A terminal ketone is otherwise known as,Aldehyde,Alkanone,Alkanoic acid,Freon,A,,,,,,,,,,,,,,,,
CHE102,The carbonyl group is capable of undergoing the following reactions except,Oxidation,Reduction,Nucleophilic addition,Elimination,D,,,,,,,,,,,,,,,,
CHE102,The preservative used for biological specimens contains,Ethanol,Methanal,Formic acid,Trioxane,B,,,,,,,,,,,,,,,,
CHE102,To prepare formalin I would dissolve,73g formaldehyde in 17g water,37g formaldehyde in 63g water,37g formaldehyde in 100g water,63g formaldehyde in 37g water,B,,,,,,,,,,,,,,,,
CHE102,A pure source of methanal is,Dry formaldehyde,Trioxane,Dioxane,Acetone,B,,,,,,,,,,,,,,,,
CHE102,Acetone is used in organic laboratories for cleaning glassware because it is,Very cheap,Highly volatile and polar,Colourless and non-viscous,Colourless and soapy,B,,,,,,,,,,,,,,,,
CHE102,Which of these could wood varnishes contain?,Propanol,2-butanone,Benzene,Ethanol,B,,,,,,,,,,,,,,,,
CHE102,CH3CHO reacts first with ethyl lithium (CH3CH2Li) and then with dilute acid to give,ethane,butan-2-ol,butane,no reaction,B,,,,,,,,,,,,,,,,
CHE102,Formaldehyde (HCHO) reacts first with CH3MgCl and then with dilute acid to give a,primary alcohol,secondary alcohol,tertiary alcohol,quaternary alcohol,A,,,,,,,,,,,,,,,,
CHE102,The oxidation of CH3CH2OH with acidic dichromate (Cr2O72-) gives,a ketone,ethyl alcohol,an aldehyde,an acid,D,,,,,,,,,,,,,,,,
CHE102,CH3CH2OH reacts with pyridinium chlorochromate (PCC) to give,a ketone,an alcohol,an aldehyde,an acid,C,,,,,,,,,,,,,,,,
CHE102,PBr3 reacts with ethanol to give,tribromoethane,bromoethanol,bromoethane,no reaction,C,,,,,,,,,,,,,,,,
CHE102,What is the IUPAC name of CH3CH2CH(OH)CH3?,Butan-1-ol,Butan-2-ol,Propan-2-ol,2-Methylpropan-2-ol,B,,,,,,,,,,,,,,,,
CHE102,Which reagent converts a primary alcohol to an aldehyde without further oxidation?,NaBH4,CrO3/H2SO4,PCC,H2/Pt,C,,,,,,,,,,,,,,,,
CHE102,The reaction of CH3CHO with HCN produces what?,A ketone,A cyanohydrin,An alcohol,An ester,B,,,,,,,,,,,,,,,,
CHE102,Which of the following is a tertiary alcohol?,CH3CH2OH,(CH3)2CHOH,(CH3)3COH,CH3CH(OH)CH2CH3,C,,,,,,,,,,,,,,,,
CHE102,What is the product of the dehydration of ethanol at 140°C with H2SO4?,Ethene,Ethane,Ethyl ether,Acetaldehyde,A,,,,,,,,,,,,,,,,
CHE102,Which functional group is present in CH3COCH3?,Aldehyde,Ketone,Alcohol,Ester,B,,,,,,,,,,,,,,,,
CHE102,The oxidation of a secondary alcohol with chromic acid yields what?,A primary alcohol,An aldehyde,A ketone,A carboxylic acid,C,,,,,,,,,,,,,,,,
